key,ar,en,es,ja
footer.cookiePolicy.body.2.answer.6.type,list,,,
footer.cookiePolicy.body.2.answer.6.content.0.type,bold,,,
footer.cookiePolicy.body.2.answer.6.content.0.text,كوكيز وسائل التواصل الاجتماعي,,,
footer.cookiePolicy.body.2.answer.6.content.1.type,text,,,
footer.cookiePolicy.body.2.answer.6.content.1.text,: يستخدمها مزودي وسائل التواصل الاجتماعي مثل فيسبوك، تويتر، إلخ لتمكينك من التفاعل مع محتوى الموقع عبر شبكاتهم.,,,
footer.cookiePolicy.body.3.question,كيف يمكنك التحكم في الكوكيز؟,How can you control Cookies?,¿Cómo puedes controlar las Cookies?,クッキーを管理するには?
footer.cookiePolicy.body.3.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.cookiePolicy.body.3.answer.0.content.0.type,text,text,text,text
footer.cookiePolicy.body.3.answer.0.content.0.text,يحق لك التحكم في الكوكيز التي يتم تخزينها على جهازك. يمكنك تعديل إعدادات الكوكيز عبر متصفحك. يمكنك إيقاف تشغيل أو حذف الكوكيز عبر إعدادات المتصفح الخاص بك. قد تختلف الإجراءات الخاصة بكل متصفح، لكن معظم المتصفحات توفر خيارًا لإيقاف الكوكيز أو إعلامك عند وجود كوكيز جديدة.,You have the right to decide whether to accept or reject cookies. You do not have to accept cookies and consent can be withdrawn at any time. Please note that essential cookies cannot be rejected as they are strictly necessary to provide you with services of our Website.,"Tienes el derecho de decidir si aceptas o rechazas las cookies. No estás obligado a aceptarlas y puedes retirar tu consentimiento en cualquier momento. Ten en cuenta que las cookies esenciales no se pueden rechazar, ya que son estrictamente necesarias para brindarte los servicios de nuestro Sitio web.",お客様は、クッキーを受け入れるか拒否するかを決定する権利を持っています。お客様はクッキーを受け入れる必要はなく、いつでも同意を撤回することができます。ただし、エッセンシャルクッキーは、当社のウェブサイトのサービスをお客様に提供するために厳密に必要なものであるため、拒否することはできません。
footer.cookiePolicy.body.3.answer.0.content.1.type,text,,,
footer.cookiePolicy.body.3.answer.0.content.1.text,", ",,,
footer.cookiePolicy.body.3.answer.0.content.2.type,link,,,
footer.cookiePolicy.body.3.answer.0.content.2.text,Microsoft Edge,,,
footer.cookiePolicy.body.3.answer.0.content.2.href,https://support.microsoft.com/en-us/help/10607/microsoft-edge-view-delete-browser-history,,,
footer.cookiePolicy.body.3.answer.0.content.3.type,text,,,
footer.cookiePolicy.body.3.answer.0.content.3.text,", ",,,
footer.cookiePolicy.body.3.answer.0.content.4.type,link,,,
footer.cookiePolicy.body.3.answer.0.content.4.text,Microsoft Internet Explorer,,,
footer.cookiePolicy.body.3.answer.0.content.4.href,https://support.microsoft.com/en-gb/help/17442/windows-internet-explorer-delete-manage-cookies,,,
footer.cookiePolicy.body.3.answer.0.content.5.type,text,,,
footer.cookiePolicy.body.3.answer.0.content.5.text,", ",,,
footer.cookiePolicy.body.3.answer.0.content.6.type,link,,,
footer.cookiePolicy.body.3.answer.0.content.6.text,Mozilla Firefox,,,
footer.cookiePolicy.body.3.answer.0.content.6.href,https://support.mozilla.org/en-US/kb/enable-and-disable-cookies-website-preferences,,,
footer.cookiePolicy.body.3.answer.0.content.7.type,text,,,
footer.cookiePolicy.body.3.answer.0.content.7.text,", ",,,
footer.cookiePolicy.body.3.answer.0.content.8.type,link,,,
footer.cookiePolicy.body.3.answer.0.content.8.text,Opera,,,
footer.cookiePolicy.body.3.answer.0.content.8.href,https://blogs.opera.com/news/2015/08/how-to-manage-cookies-in-opera/,,,
footer.cookiePolicy.body.4.question,التعديلات على سياسة الكوكيز هذه,Amendments to this Cookie Policy,Modificaciones a esta Política de Cookies,本クッキーポリシーの改定
footer.cookiePolicy.body.4.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.cookiePolicy.body.4.answer.0.content.0.type,text,text,text,text
footer.cookiePolicy.body.4.answer.0.content.0.text,قد نقوم بتحديث سياسة الكوكيز هذه من وقت لآخر لتعكس، على سبيل المثال، التغييرات في الكوكيز التي نستخدمها أو لأسباب تشغيلية أو قانونية أو تنظيمية أخرى. وبما أننا لا نجمع بيانات شخصية مثل عنوان IP الخاص بك أو بريدك الإلكتروني أو أي وسيلة اتصال أخرى، وبالتالي ليس لدينا وسيلة للتواصل معك من أجل سلامتك، يُرجى زيارة سياسة الكوكيز هذه بانتظام للبقاء على اطلاع حول استخدامنا للكوكيز والتقنيات ذات الصلة.,"We may update this Cookie Policy from time to time in order to reflect, for example, changes to the cookies we use or for other operational, legal or regulatory reasons. Since we do not collect personal data such as your IP address, email or any other form of contact, thus having no means to reach you for your safety, please therefore re-visit this Cookie Policy regularly to stay informed about our use of cookies and related technologies.","Podemos actualizar esta Política de Cookies ocasionalmente para reflejar, por ejemplo, cambios en las cookies que utilizamos o por otros motivos operativos, legales o regulatorios. Dado que no recopilamos datos personales como tu dirección IP, correo electrónico ni ninguna otra forma de contacto, y por lo tanto no tenemos forma de comunicarnos contigo por tu seguridad, te recomendamos revisar periódicamente esta Política de Cookies para mantenerte informado sobre nuestro uso de cookies y tecnologías relacionadas.",当社が使用するクッキーの変更を反映するため、またはその他の運営上、法的または規制上の理由により、本クッキーポリシーを随時更新することがあります。当社は、お客様のIPアドレス、メールアドレス、その他の連絡先などの個人情報を収集しないため、お客様の安全のためにご連絡する方法がありません。そのため、クッキーおよび関連技術の使用方法について常に最新情報を入手するために、本クッキーポリシーを定期的に再確認してください。
footer.cookiePolicy.body.4.answer.1.type,paragraph,paragraph,paragraph,paragraph
footer.cookiePolicy.body.4.answer.1.content.0.type,text,text,text,text
footer.cookiePolicy.body.4.answer.1.content.0.text,التاريخ الموجود في أعلى سياسة الكوكيز هذه يشير إلى آخر مرة تم تحديثها فيها.,The date at the top of this Cookie Policy indicates when it was last updated.,La fecha en la parte superior de esta Política de Cookies indica cuándo fue actualizada por última vez.,本クッキーポリシーの上部に記載されている日付は、最後に更新された日付を示しています。
footer.cookiePolicy.body.5.question,كيف يمكنك الاتصال بنا مع أي استفسارات؟,How can you contact us with questions?,¿Cómo puedes contactarnos si tienes preguntas?,ご質問・お問い合わせ先
footer.cookiePolicy.body.5.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.cookiePolicy.body.5.answer.0.content.0.type,text,text,text,text
footer.cookiePolicy.body.5.answer.0.content.0.text,"إذا كانت لديك أي مخاوف تتعلق باستخدامنا للكوكيز أو التقنيات الأخرى، يرجى الاتصال بنا على ","If you have any concerns relating to our use of cookies or other technologies, please contact us at ","Si tienes alguna inquietud relacionada con nuestro uso de cookies u otras tecnologías, por favor contáctanos en ",当社のクッキーまたはその他の技術の使用に関してご不明な点がある場合は、
footer.cookiePolicy.body.5.answer.0.content.1.type,link,link,link,link
footer.cookiePolicy.body.5.answer.0.content.1.text,study@virufy.org,study@virufy.org,study@virufy.org,study@virufy.org
footer.cookiePolicy.body.5.answer.0.content.1.href,mailto:study@virufy.org,mailto:study@virufy.org,mailto:study@virufy.org,mailto:study@virufy.org
footer.cookiePolicy.body.5.answer.0.content.2.type,text,text,text,text
footer.cookiePolicy.body.5.answer.0.content.2.text,.,.,.,までご連絡ください。
footer.privacyPolicy.title,سياسة الخصوصية,Privacy Policy,Política de Privacidad,プライバシーポリシー
footer.privacyPolicy.body.0.question,الأرجنتين,Argentina,Argentina,アルゼンチン
footer.privacyPolicy.body.0.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.privacyPolicy.body.0.answer.0.content.0.type,link,link,link,link
footer.privacyPolicy.body.0.answer.0.content.0.text,سياسة الخصوصية,Privacy Policy,Política de Privacidad,プライバシーポリシー
footer.privacyPolicy.body.0.answer.0.content.0.href,https://drive.google.com/file/d/1Fef7l77QP3EZboej6mw_q7fBNrayvs03/view,https://drive.google.com/file/d/1Fef7l77QP3EZboej6mw_q7fBNrayvs03/view,https://drive.google.com/file/d/1Fef7l77QP3EZboej6mw_q7fBNrayvs03/view,https://drive.google.com/file/d/1Fef7l77QP3EZboej6mw_q7fBNrayvs03/view
footer.privacyPolicy.body.1.question,بوليفيا,Bolivia,Bolivia,ボリビア
footer.privacyPolicy.body.1.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.privacyPolicy.body.1.answer.0.content.0.type,link,link,link,link
footer.privacyPolicy.body.1.answer.0.content.0.text,سياسة الخصوصية,Privacy Policy,Política de Privacidad,プライバシーポリシー
footer.privacyPolicy.body.1.answer.0.content.0.href,https://drive.google.com/file/d/1ZSrRivk4YJyyDioqYeAsz0fgNAP3UwVn/view,https://drive.google.com/file/d/1ZSrRivk4YJyyDioqYeAsz0fgNAP3UwVn/view,https://drive.google.com/file/d/1ZSrRivk4YJyyDioqYeAsz0fgNAP3UwVn/view,https://drive.google.com/file/d/1ZSrRivk4YJyyDioqYeAsz0fgNAP3UwVn/view
footer.privacyPolicy.body.2.question,البرازيل,Brazil,Brazil,ブラジル
footer.privacyPolicy.body.2.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.privacyPolicy.body.2.answer.0.content.0.type,link,link,link,link
footer.privacyPolicy.body.2.answer.0.content.0.text,سياسة الخصوصية,Privacy Policy,Política de Privacidad,プライバシーポリシー
footer.privacyPolicy.body.2.answer.0.content.0.href,https://drive.google.com/file/d/1Zl9QO-Dliik84xjuXCdFGcDOk5GytXr1/view,https://drive.google.com/file/d/1Zl9QO-Dliik84xjuXCdFGcDOk5GytXr1/view,https://drive.google.com/file/d/1Zl9QO-Dliik84xjuXCdFGcDOk5GytXr1/view,https://drive.google.com/file/d/1Zl9QO-Dliik84xjuXCdFGcDOk5GytXr1/view
footer.privacyPolicy.body.3.question,كولومبيا,Colombia,Colombia,コロンビア
footer.privacyPolicy.body.3.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.privacyPolicy.body.3.answer.0.content.0.type,link,link,link,link
footer.privacyPolicy.body.3.answer.0.content.0.text,سياسة الخصوصية,Privacy Policy,Política de Privacidad,プライバシーポリシー
footer.privacyPolicy.body.3.answer.0.content.0.href,https://drive.google.com/file/d/1eQOx81C5e5CoESYsEnrE9sWhCkTMDPEq/view,https://drive.google.com/file/d/1eQOx81C5e5CoESYsEnrE9sWhCkTMDPEq/view,https://drive.google.com/file/d/1eQOx81C5e5CoESYsEnrE9sWhCkTMDPEq/view,https://drive.google.com/file/d/1eQOx81C5e5CoESYsEnrE9sWhCkTMDPEq/view
footer.privacyPolicy.body.4.question,اليونان,Greece,Grecia,ギリシャ
footer.privacyPolicy.body.4.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.privacyPolicy.body.4.answer.0.content.0.type,link,link,link,link
footer.privacyPolicy.body.4.answer.0.content.0.text,سياسة الخصوصية,Privacy Policy,Política de Privacidad,プライバシーポリシー
footer.privacyPolicy.body.4.answer.0.content.0.href,https://drive.google.com/file/d/1lMVygBx3pV_lZBhFtZe5go4UM4mFt0qP/view,https://drive.google.com/file/d/1lMVygBx3pV_lZBhFtZe5go4UM4mFt0qP/view,https://drive.google.com/file/d/1lMVygBx3pV_lZBhFtZe5go4UM4mFt0qP/view,https://drive.google.com/file/d/1lMVygBx3pV_lZBhFtZe5go4UM4mFt0qP/view
footer.privacyPolicy.body.5.question,المكسيك,Mexico,México,メキシコ
footer.privacyPolicy.body.5.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.privacyPolicy.body.5.answer.0.content.0.type,link,link,link,link
footer.privacyPolicy.body.5.answer.0.content.0.text,سياسة الخصوصية,Privacy Policy,Política de Privacidad,プライバシーポリシー
footer.privacyPolicy.body.5.answer.0.content.0.href,https://drive.google.com/file/d/1Qr3cFttfhjUoKxLcQrVEhsuO-OJ6VE0_/view,https://drive.google.com/file/d/1Qr3cFttfhjUoKxLcQrVEhsuO-OJ6VE0_/view,https://drive.google.com/file/d/1Qr3cFttfhjUoKxLcQrVEhsuO-OJ6VE0_/view,https://drive.google.com/file/d/1Qr3cFttfhjUoKxLcQrVEhsuO-OJ6VE0_/view
footer.privacyPolicy.body.6.question,بيرو,Peru,Perú,ペルー
footer.privacyPolicy.body.6.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.privacyPolicy.body.6.answer.0.content.0.type,link,link,link,link
footer.privacyPolicy.body.6.answer.0.content.0.text,سياسة الخصوصية,Privacy Policy,Política de Privacidad,プライバシーポリシー
footer.privacyPolicy.body.6.answer.0.content.0.href,https://drive.google.com/file/d/1UgN2Bu2XIvv2YirLRYloSPlbYln_uzf9/view,https://drive.google.com/file/d/1UgN2Bu2XIvv2YirLRYloSPlbYln_uzf9/view,https://drive.google.com/file/d/1UgN2Bu2XIvv2YirLRYloSPlbYln_uzf9/view,https://drive.google.com/file/d/1UgN2Bu2XIvv2YirLRYloSPlbYln_uzf9/view
footer.privacyPolicy.body.7.question,الولايات المتحدة,United States,Estados Unidos,アメリカ合衆国
footer.privacyPolicy.body.7.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.privacyPolicy.body.7.answer.0.content.0.type,link,link,link,link
footer.privacyPolicy.body.7.answer.0.content.0.text,سياسة الخصوصية,Privacy Policy,Política de Privacidad,プライバシーポリシー
footer.privacyPolicy.body.7.answer.0.content.0.href,https://drive.google.com/file/d/1EB_9q8nSxvJXWMtCfxCWmisM-n03TJYz/view,https://drive.google.com/file/d/1EB_9q8nSxvJXWMtCfxCWmisM-n03TJYz/view,https://drive.google.com/file/d/1EB_9q8nSxvJXWMtCfxCWmisM-n03TJYz/view,https://drive.google.com/file/d/1EB_9q8nSxvJXWMtCfxCWmisM-n03TJYz/view
footer.privacyPolicy.body.8.question,أوروبا,Europe,Europa,ヨーロッパ
footer.privacyPolicy.body.8.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.privacyPolicy.body.8.answer.0.content.0.type,link,link,link,link
footer.privacyPolicy.body.8.answer.0.content.0.text,سياسة الخصوصية,Privacy Policy,Política de Privacidad,プライバシーポリシー
footer.privacyPolicy.body.8.answer.0.content.0.href,https://drive.google.com/file/d/1EB_9q8nSxvJXWMtCfxCWmisM-n03TJYz/view,https://drive.google.com/file/d/1EB_9q8nSxvJXWMtCfxCWmisM-n03TJYz/view,https://drive.google.com/file/d/1EB_9q8nSxvJXWMtCfxCWmisM-n03TJYz/view,https://drive.google.com/file/d/1EB_9q8nSxvJXWMtCfxCWmisM-n03TJYz/view
footer.privacyPolicy.body.9.question,اليابان,Japan,Japón,日本
footer.privacyPolicy.body.9.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.privacyPolicy.body.9.answer.0.content.0.type,link,link,link,link
footer.privacyPolicy.body.9.answer.0.content.0.text,سياسة الخصوصية,Privacy Policy,Política de Privacidad,プライバシーポリシー
footer.privacyPolicy.body.9.answer.0.content.0.href,https://drive.google.com/file/d/11RTMmnHW4SqHNf7htr3xuSi-o2v2vWlp/view,https://drive.google.com/file/d/11RTMmnHW4SqHNf7htr3xuSi-o2v2vWlp/view,https://drive.google.com/file/d/11RTMmnHW4SqHNf7htr3xuSi-o2v2vWlp/view,https://drive.google.com/file/d/11RTMmnHW4SqHNf7htr3xuSi-o2v2vWlp/view
footer.privacyPolicy.body.10.question,دول أخرى,Other Countries,Otros países,その他の国々
footer.privacyPolicy.body.10.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.privacyPolicy.body.10.answer.0.content.0.type,link,link,link,link
footer.privacyPolicy.body.10.answer.0.content.0.text,سياسة الخصوصية,Privacy Policy,Política de Privacidad,プライバシーポリシー
footer.privacyPolicy.body.10.answer.0.content.0.href,https://drive.google.com/file/d/1hnxvDJ5qHBnUi7cnkNdyD4PuWMz8Ntss/view,https://drive.google.com/file/d/1hnxvDJ5qHBnUi7cnkNdyD4PuWMz8Ntss/view,https://drive.google.com/file/d/1hnxvDJ5qHBnUi7cnkNdyD4PuWMz8Ntss/view,https://drive.google.com/file/d/1hnxvDJ5qHBnUi7cnkNdyD4PuWMz8Ntss/view
footer.personalInfo.title,لا تبيع معلوماتي الشخصية,Do Not Sell My Personal Info,No Vendas Mi Información Personal,個人情報の保護
footer.personalInfo.body.0.question,حقوق قانون خصوصية المستهلك في كاليفورنيا,California Consumer Privacy Act Rights,Derechos según la Ley de Privacidad del Consumidor de California,カリフォルニア州消費者プライバシー法の権利
footer.personalInfo.body.0.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.personalInfo.body.0.answer.0.content.0.type,text,text,text,text
footer.personalInfo.body.0.answer.0.content.0.text,يحق للمستهلكين في كاليفورنيا المعرفة والوصول وحذف معلوماتهم الشخصية بموجب قانون خصوصية المستهلك في كاليفورنيا. يحق للمستهلكين في كاليفورنيا أيضًا اختيار عدم بيع معلوماتهم الشخصية من قبل الشركات، ويحق لهم عدم التعرض للتمييز بسبب ممارسة حقوقهم في الخصوصية في كاليفورنيا. لا تبيع فيروفي معلومات المستهلكين الشخصية في كاليفورنيا ولا تميز ردًا على طلبات حقوق الخصوصية.,"California consumers have a right to knowledge, access, and deletion of their personal information under the California Consumer Privacy Act. California consumers also have a right to opt out of the sale of their personal information by a business and a right not to be discriminated against for exercising one of their California privacy rights. Virufy does not sell the personal information of California consumers and does not discriminate in response to privacy rights requests.","Los consumidores de California tienen derecho a conocer, acceder y eliminar su información personal bajo la Ley de Privacidad del Consumidor de California. También tienen derecho a optar por no vender su información personal a una empresa y a no ser discriminados por ejercer sus derechos de privacidad. Virufy no vende la información personal de los consumidores de California y no discrimina en respuesta a solicitudes relacionadas con derechos de privacidad.",カリフォルニア州の消費者は、カリフォルニア州消費者プライバシー法に基づき、個人情報の知識、アクセス、削除の権利を持っています。また、カリフォルニア州の消費者には、自分の個人情報の販売を企業に拒否する権利、およびプライバシー権を行使したことによって差別されない権利があります。Virufyは、カリフォルニア州の消費者の個人情報を販売することはなく、プライバシー権のリクエストに対して差別することもありません。
footer.personalInfo.body.1.question,تقدم فيروفي إشعارًا بممارسات الخصوصية في سياسة الخصوصية الخاصة بنا,Virufy provides notice of our privacy practices in our Privacy Policy,Virufy proporciona información sobre nuestras prácticas de privacidad en nuestra Política de Privacidad,Virufyのプライバシー慣行に関する通知はプライバシーポリシーで提供されています
footer.personalInfo.body.1.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.personalInfo.body.1.answer.0.content.0.type,text,text,text,text
footer.personalInfo.body.1.answer.0.content.0.text,تتضمن سياسة الخصوصية ما هي المعلومات الشخصية والبيانات التي يتم جمعها، مصدر المعلومات الشخصية والبيانات التي تم جمعها، كيفية معالجة وتخزين المعلومات الشخصية والبيانات، وأغراض استخدام المعلومات الشخصية. تكشف فيروفي أيضًا عن المعلومات الشخصية وإذا كان الأمر كذلك، الفئات التي يتم الكشف عن البيانات والمعلومات الشخصية لها. يتم تقديم مزيد من المعلومات حول كيفية تعامل فيروفي مع المعلومات الشخصية في إطار خدمات فيروفي المحددة في إشعارات خاصة بالخدمة عند أو قبل أول استخدام لتطبيق فيروفي الإلكتروني ومتاح في أي وقت. للاطلاع على نسخة من أحدث الإصدارات من إشعارات الخصوصية الخاصة بالخدمات والإفصاحات الخاصة بكاليفورنيا، يرجى مراجعة سياسة الخصوصية الخاصة بنا.,"The Privacy Policy includes what personal information and data is collected, the source of the personal information and data collected, how personal information and data is processed and stored, and the purposes of use of personal information. Virufy also discloses what personal information and if so, the categories of third parties to whom data and personal information is disclosed. More information about how Virufy handles personal information in connection with specific Virufy services is presented in service-specific notices at or before your first use of the Virufy web app and available at any time. To view a copy of the latest versions of the service-specific privacy notices and the California-specific disclosures, please see our Privacy Policy.","La Política de Privacidad incluye qué información y datos personales se recopilan, la fuente de esta información, cómo se procesan y almacenan, y los fines para los que se usan. Virufy también revela qué información personal se comparte y, de ser así, con qué categorías de terceros. Más información sobre cómo Virufy maneja la información personal en relación con servicios específicos de Virufy se proporciona en avisos específicos del servicio al momento o antes del primer uso de la aplicación web de Virufy, y están disponibles en todo momento. Para ver una copia de las versiones más recientes de los avisos de privacidad específicos del servicio y las divulgaciones específicas para California, consulte nuestra Política de Privacidad.",プライバシーポリシーには、収集される個人情報やデータの種類、収集元、個人情報やデータの処理および保存方法、使用目的が記載されています。また、Virufyが個人情報を開示する場合、そのカテゴリーや第三者についても開示されます。特定のVirufyのサービスに関連してVirufyが個人情報をどのように扱うかについての詳細は、Virufyウェブアプリの最初の使用時または使用前に提供され、いつでも参照可能です。サービスごとのプライバシー通知およびカリフォルニア州向けの開示の最新版は、プライバシーポリシーでご確認ください。
footer.personalInfo.body.2.question,كيفية ممارسة الحقوق المذكورة أعلاه,How to Exercise the Above Rights,Cómo Ejercer los Derechos Anteriores,上記の権利を行使する方法
footer.personalInfo.body.2.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.personalInfo.body.2.answer.0.content.0.type,text,text,text,text
footer.personalInfo.body.2.answer.0.content.0.text,"يمكن للمستهلكين في كاليفورنيا ممارسة حقوقهم في الوصول إلى معلوماتهم أو حذفها مباشرة أو من خلال وكيل مفوض من خلال الاتصال بـ فيروفي على ","California consumers can exercise their rights to access or delete their information directly or through an authorized agent by contacting Virufy at ","Los consumidores de California pueden ejercer sus derechos de acceso o eliminación de su información directamente o a través de un agente autorizado contactando a Virufy en ",カリフォルニア州の消費者は、直接または代理人を通じて、自分の情報にアクセスしたり削除したりする権利を行使できます。Virufyへは
footer.personalInfo.body.2.answer.0.content.1.type,link,link,link,link
footer.personalInfo.body.2.answer.0.content.1.text,study@virufy.org,study@virufy.org,study@virufy.org,study@virufy.org
footer.personalInfo.body.2.answer.0.content.1.href,mailto:study@virufy.org,mailto:study@virufy.org,mailto:study@virufy.org,mailto:study@virufy.org
footer.personalInfo.body.2.answer.0.content.2.type,text,text,text,text
footer.personalInfo.body.2.answer.0.content.2.text,. ستطلب فيروفي منك معلومات تعتبرها ضرورية للتحقق من هويتك من أجل الأمان ولمنع الاحتيال. قد تتضمن هذه المعلومات الاسم، معلومات الاتصال، والمعلومات المتعلقة بعلاقتك مع فيروفي، ولكن قد يختلف نوع المعلومات المطلوبة حسب ظروف طلبك من أجل الأمان وحماية حقوق الخصوصية. إذا قمنا بحذف معلوماتك الشخصية، سنجعل بعض المعلومات الشخصية غير قابلة للاسترداد بشكل دائم ونقوم أيضًا بإزالة تعريف بعض المعلومات الشخصية.,". Virufy will ask you for information which we consider necessary to verify your identity for security and to prevent fraud. This information may include name, contact information, and information related to your relationship with Virufy, but the specific information requested may differ depending on the circumstances of your request for your security and to protect privacy rights. If we delete your personal information, we will both render certain personal information about you permanently unrecoverable and also de-identify certain personal information.",". Virufy solicitará la información que considere necesaria para verificar su identidad por motivos de seguridad y para prevenir fraudes. Esta información puede incluir nombre, información de contacto e información relacionada con su relación con Virufy, pero la información específica solicitada puede variar dependiendo de las circunstancias de su solicitud, para su seguridad y para proteger los derechos de privacidad. Si eliminamos su información personal, haremos que cierta información sea irrecuperable permanentemente y también desidentificaremos cierta información personal.",に連絡することで可能です。Virufyは、セキュリティと詐欺防止のために、あなたの身元を確認するために必要と考える情報を要求します。この情報には、名前、連絡先情報、Virufyとの関係に関連する情報が含まれる場合がありますが、リクエストの状況によって要求される具体的な情報は異なる場合があります。あなたの個人情報を削除する場合、特定の個人情報を永久に回復不可能な状態にし、また特定の個人情報を識別不能な状態にします。
footer.personalInfo.body.3.question,التسويق المباشر وعدم التتبع,Direct Marketing and Do Not Track,"Marketing Directo y Señales de ""No Rastrear""",ダイレクトマーケティングとトラッキング
footer.personalInfo.body.3.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.personalInfo.body.3.answer.0.content.0.type,text,text,text,text
footer.personalInfo.body.3.answer.0.content.0.text,"لا تقوم فيروفي بتتبع عملائها عبر الزمن وعلى مواقع الويب الخاصة بالأطراف الثالثة لتقديم إعلانات موجهة، وبالتالي لا تستجيب لإشارات متصفح الويب الخاصة بـ ""عدم التتبع"". إذا وصلت إلى موقعنا الإلكتروني عبر رابط من موقع طرف ثالث يستجيب لطلبات ""عدم التتبع""، فإن التعرف على أي طلب ""عدم تتبع"" قد بدأته سينتهي بمجرد وصولك إلى موقعنا الإلكتروني. لا يمكن للأطراف الثالثة جمع أي معلومات شخصية قابلة للتحديد من مواقع فيروفي الإلكترونية ما لم تقدمها لهم مباشرة. يتم وصف هذا أيضًا في سياسة الخصوصية الخاصة بنا.","Virufy does not track its customers over time and across third party websites to provide targeted advertising and therefore does not respond to web browsers “do not track” signals. If you arrive at our website by way of a link from a third party site that does respond to “do not track” requests, the recognition of any “do not track” request you have initiated will end as soon as you reach our website. Third parties cannot collect any other personally identifiable information from Virufy’s websites unless you provide it to them directly. This is also described in our Privacy Policy.","Virufy no rastrea a sus usuarios a lo largo del tiempo ni en sitios web de terceros para ofrecer publicidad dirigida, y por lo tanto no responde a señales de “no rastrear” de los navegadores web. Si llega a nuestro sitio web a través de un enlace desde un sitio de terceros que sí responde a solicitudes de “no rastrear”, dicho reconocimiento finalizará al llegar a nuestro sitio. Los terceros no pueden recopilar ninguna información personal identificable de los sitios web de Virufy a menos que usted se la proporcione directamente. Esto también se describe en nuestra Política de Privacidad.",Virufyは、顧客を第三者のウェブサイトを通じて時間とともに追跡し、ターゲティング広告を提供することは行っていないため、ウェブブラウザの「Do Not Track」シグナルには対応していません。当団体のウェブサイトを第三者サイトのリンクから開いた場合、その「Do Not Track」リクエストの認識は、当団体のウェブサイトに到着した時点で終了します。第三者がVirufyのウェブサイトから個人を識別できる情報を収集することは、あなたが直接提供しない限りできません。これについては、プライバシーポリシーでも説明されています。
footer.personalInfo.body.4.question,إشعار للقاصرين,Notice for Minors,Aviso para Menores de Edad,未成年者に関する通知
footer.personalInfo.body.4.answer.0.type,paragraph,paragraph,paragraph,paragraph
footer.personalInfo.body.4.answer.0.content.0.type,text,text,text,text
footer.personalInfo.body.4.answer.0.content.0.text,نحن لا نجمع عن علم معلومات عبر الإنترنت من الأطفال دون سن 18 عامًا. إذا تم إخطارنا أننا جمعنا معلومات شخصية، كما هو معرف في قانون حماية خصوصية الأطفال عبر الإنترنت (COPPA)، لطفل تحت سن 13 عامًا، فإننا سنقوم بحذف المعلومات بأسرع وقت ممكن. نحن لا نبيع أبدًا المعلومات الشخصية للقاصرين دون سن 18 عامًا ولن نفعل ذلك في المستقبل دون إذن صريح من المستهلك إذا كان عمره بين 13 و16 عامًا، أو من الوالد أو الوصي على المستهلك الذي يقل عمره عن 13 عامًا.,"We do not knowingly collect online information from children under the age of 18. If we are notified that we have collected personal information, as defined by the Children’s Online Privacy Protection Act (“COPPA”), of a child under the age of 13, we will delete the information as expeditiously as possible. We never sell the personal information of minors under 18 years of age and would not do so in the future without affirmative authorization of the consumer if between 13 to 16 years of age, or the parent or guardian of a consumer less than 13 years of age.","No recopilamos intencionalmente información en línea de niños menores de 18 años. Si se nos notifica que hemos recopilado información personal, según lo definido por la Ley de Protección de la Privacidad Infantil en Línea (“COPPA”), de un menor de 13 años, eliminaremos dicha información lo más pronto posible. Nunca vendemos la información personal de menores de 18 años y no lo haremos en el futuro sin la autorización afirmativa del consumidor (si tiene entre 13 y 16 años) o del padre/madre o tutor del consumidor (si tiene menos de 13 años).",当団体は、18歳未満の子供からオンラインで情報を故意に収集することはありません。もし13歳未満の子供の個人情報（COPPAに定義される）を収集したことが通知された場合、その情報は可能な限り迅速に削除されます。また、18歳未満の未成年者の個人情報を販売することはなく、将来的に13～16歳の消費者や13歳未満の消費者の親または保護者の明確な許可がない限り、そうすることはありません。
footer.nonProfitSection.title,الصفة غير الربحية,Nonprofit Status,Estatus como Organización Sin Fines de Lucro,非営利団体
